Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,83.269997,83.559998,82.959999,83.199997,83.199997,4900
2021-08-25,83.750000,83.889999,83.379997,83.559998,83.559998,7800
2021-08-26,83.190002,83.400002,82.900002,82.930000,82.930000,7400
2021-08-27,83.209999,84.169998,83.209999,84.059998,84.059998,11700
2021-08-30,84.309998,84.900002,84.309998,84.500000,84.500000,10500
2021-08-31,83.690002,84.570000,83.690002,84.250000,84.250000,31500
2021-09-01,83.699997,84.500000,83.699997,84.129997,84.129997,10500
2021-09-02,83.510002,84.449997,83.500000,83.620003,83.620003,6700
2021-09-03,83.410004,83.910004,83.099998,83.360001,83.360001,9700
2021-09-07,83.260002,84.099998,83.080002,83.750000,83.750000,12600
2021-09-08,81.500000,81.739998,80.970001,81.220001,81.220001,16100
2021-09-09,80.930000,81.500000,80.519997,80.720001,80.720001,14000
2021-09-10,81.940002,82.269997,81.379997,81.379997,81.379997,6700
